datetime,game_length,game_result,time_per_game,training_steps
2023-05-24 13:25:31,29,B+1.0,19.0541,0
2023-05-24 13:25:56,41,B+1.0,21.9136,0
2023-05-24 13:26:17,41,B+1.0,21.6315,0
2023-05-24 13:26:31,34,W+1.0,19.6494,0
2023-05-24 13:26:41,26,W+1.0,17.8471,0
2023-05-24 13:26:56,38,W+1.0,17.352,0
2023-05-24 13:27:24,41,B+1.0,18.8906,0
2023-05-24 13:27:53,44,W+1.0,20.1143,0
2023-05-24 13:27:59,15,B+1.0,18.5185,0
2023-05-24 13:28:16,44,W+1.0,18.3909,0
2023-05-24 13:28:27,32,W+1.0,17.7621,0
2023-05-24 13:28:42,34,W+1.0,17.4947,0
2023-05-24 13:29:03,56,W+1.0,17.7498,0
2023-05-24 13:29:23,50,W+1.0,17.9362,0
2023-05-24 13:29:42,48,W+1.0,17.9672,0
2023-05-24 13:29:55,34,W+1.0,17.6596,0
2023-05-24 13:30:14,47,B+1.0,17.7732,0
2023-05-24 13:30:32,45,B+1.0,17.7951,0
2023-05-24 13:30:45,31,B+1.0,17.5324,0
2023-05-24 13:31:05,50,W+1.0,17.6319,0
2023-05-24 13:31:27,55,B+1.0,17.8607,0
2023-05-24 13:31:44,43,B+1.0,17.8177,0
2023-05-24 13:32:01,40,W+1.0,17.7944,0
2023-05-24 13:32:21,49,B+1.0,17.8712,0
2023-05-24 13:32:40,51,B+1.0,17.9075,0
2023-05-24 13:32:50,30,W+1.0,17.6247,0
2023-05-24 13:33:01,28,W+1.0,17.3688,0
2023-05-24 13:33:16,39,B+1.0,17.2991,0
2023-05-24 13:33:33,43,B+1.0,17.269,0
2023-05-24 13:33:50,44,W+1.0,17.2493,0
2023-05-24 13:34:09,43,B+1.0,17.3219,0
2023-05-24 13:34:28,45,B+1.0,17.376,0
2023-05-24 13:34:39,29,B+1.0,17.1686,0
2023-05-24 13:34:55,36,W+1.0,17.1306,0
2023-05-24 13:35:09,35,B+1.0,17.0425,0
2023-05-24 13:35:21,30,W+1.0,16.9103,0
2023-05-24 13:35:29,23,B+1.0,16.6834,0
2023-05-24 13:35:51,49,B+1.0,16.805,0
2023-05-24 13:36:03,34,W+1.0,16.6957,0
2023-05-24 13:36:17,34,W+1.0,16.6152,0
2023-05-24 13:36:36,50,W+1.0,16.6691,0
2023-05-24 13:36:52,43,B+1.0,16.6687,0
2023-05-24 13:37:09,45,B+1.0,16.6639,0
2023-05-24 13:37:28,46,W+1.0,16.7301,0
2023-05-24 13:37:45,45,B+1.0,16.7254,0
2023-05-24 13:37:57,29,B+1.0,16.6214,0
2023-05-24 13:38:12,38,W+1.0,16.5872,0
2023-05-24 13:38:21,26,W+1.0,16.4305,0
2023-05-24 13:38:32,26,W+1.0,16.3179,0
2023-05-24 13:38:44,33,B+1.0,16.2307,0
2023-05-24 13:39:03,47,B+1.0,16.2954,0
2023-05-24 13:39:28,59,B+1.0,16.4676,0
2023-05-24 13:39:45,38,W+1.0,16.4749,0
2023-05-24 13:39:58,32,W+1.0,16.4124,0
2023-05-24 13:40:20,49,B+1.0,16.4981,0
2023-05-24 13:40:30,27,B+1.0,16.3985,0
2023-05-24 13:40:44,31,B+1.0,16.3427,0
2023-05-24 13:41:04,45,B+1.0,16.4112,0
2023-05-24 13:41:26,40,W+1.0,16.4992,0
2023-05-24 13:41:47,42,W+1.0,16.5753,0
2023-05-24 13:42:05,39,B+1.0,16.5969,0
2023-05-24 13:42:19,30,W+1.0,16.5585,0
2023-05-24 13:42:33,38,W+1.0,16.5293,0
2023-05-24 13:42:52,47,B+1.0,16.559,0
2023-05-24 13:43:12,47,B+1.0,16.6071,0
2023-05-24 13:43:28,43,B+1.0,16.6007,0
2023-05-24 13:43:43,39,B+1.0,16.5819,0
2023-05-24 13:45:20,45,B+1.0,16.8482,1000
2023-05-24 13:46:17,81,B+1.0,17.4317,1000
2023-05-24 13:47:02,75,B+1.0,17.8159,1000
2023-05-24 13:47:36,56,W+1.0,18.034,1000
2023-05-24 13:48:15,67,B+1.0,18.332,1000
2023-05-24 13:48:47,54,W+1.0,18.5112,1000
2023-05-24 13:49:13,47,B+1.0,18.6091,1000
2023-05-24 13:49:53,67,B+1.0,18.8944,1000
2023-05-24 13:50:26,55,B+1.0,19.0797,1000
2023-05-24 13:50:55,48,W+1.0,19.1957,1000
2023-05-24 13:51:12,31,B+1.0,19.1707,1000
2023-05-24 13:51:40,50,W+1.0,19.2877,1000
2023-05-24 13:52:06,44,W+1.0,19.3651,1000
2023-05-24 13:52:42,62,W+1.0,19.5748,1000
2023-05-24 13:53:02,35,B+1.0,19.577,1000
2023-05-24 13:53:29,47,B+1.0,19.6674,1000
2023-05-24 13:53:50,36,W+1.0,19.6798,1000
2023-05-24 13:54:21,52,W+1.0,19.8075,1000
2023-05-24 13:54:55,57,B+1.0,19.9692,1000
2023-05-24 13:55:13,33,B+1.0,19.9458,1000
2023-05-24 13:55:37,45,B+1.0,20.0012,1000
2023-05-24 13:56:04,46,W+1.0,20.0694,1000
2023-05-24 13:56:29,45,B+1.0,20.1331,1000
2023-05-24 13:56:58,49,B+1.0,20.2206,1000
2023-05-24 13:57:14,30,W+1.0,20.1841,1000
2023-05-24 13:57:39,44,W+1.0,20.2292,1000
2023-05-24 13:58:05,48,W+1.0,20.2956,1000
2023-05-24 13:58:40,62,W+1.0,20.4467,1000
2023-05-24 13:59:01,36,W+1.0,20.4456,1000
2023-05-24 13:59:21,36,W+1.0,20.4453,1000
2023-05-24 13:59:35,26,W+1.0,20.3814,1000
2023-05-24 13:59:57,42,W+1.0,20.4006,1000
2023-05-24 14:00:13,28,W+1.0,20.3701,1000
2023-05-24 14:00:43,51,B+1.0,20.4204,1000
2023-05-24 14:01:08,35,B+1.0,20.4538,1000
2023-05-24 14:01:45,54,W+1.0,20.6944,1000
2023-05-24 14:02:13,51,B+1.0,20.8686,1000
2023-05-24 14:02:48,64,W+1.0,21.0671,1000
2023-05-24 14:03:07,33,B+1.0,20.9731,1000
2023-05-24 14:03:41,58,W+1.0,21.0251,1000
2023-05-24 14:04:03,40,W+1.0,21.1854,1000
2023-05-24 14:04:29,49,B+1.0,21.2792,1000
2023-05-24 14:06:21,47,B+1.0,21.6602,2000
2023-05-24 14:06:46,43,B+1.0,21.7023,2000
2023-05-24 14:07:14,50,W+1.0,21.7733,2000
2023-05-24 14:07:33,36,W+1.0,21.7866,2000
2023-05-24 14:07:53,36,W+1.0,21.8488,2000
2023-05-24 14:08:21,49,B+1.0,21.9325,2000
2023-05-24 14:08:42,38,W+1.0,21.9675,2000
2023-05-24 14:09:24,71,B+1.0,22.2524,2000
2023-05-24 14:09:47,45,B+1.0,22.2903,2000
2023-05-24 14:10:18,56,W+1.0,22.3778,2000
2023-05-24 14:10:47,51,B+1.0,22.4981,2000
2023-05-24 14:11:05,33,B+1.0,22.5083,2000
2023-05-24 14:11:36,53,B+1.0,22.6158,2000
2023-05-24 14:12:09,58,W+1.0,22.7638,2000
2023-05-24 14:12:57,87,B+1.0,23.1317,2000
2023-05-24 14:13:23,52,W+1.0,23.287,2000
2023-05-24 14:13:50,53,B+1.0,23.4043,2000
2023-05-24 14:14:12,37,B+1.0,23.4557,2000
2023-05-24 14:14:25,25,B+1.0,23.4236,2000
2023-05-24 14:14:49,45,B+1.0,23.4706,2000
2023-05-24 14:15:01,22,W+1.0,23.4007,2000
2023-05-24 14:15:44,79,B+1.0,23.7234,2000
2023-05-24 14:16:07,40,W+1.0,23.793,2000
2023-05-24 14:16:34,50,W+1.0,23.9251,2000
2023-05-24 14:16:58,41,B+1.0,24.0385,2000
2023-05-24 14:17:29,56,W+1.0,24.2613,2000
2023-05-24 14:17:54,47,B+1.0,24.3044,2000
2023-05-24 14:18:24,57,B+1.0,24.4792,2000
2023-05-24 14:18:44,37,B+1.0,24.545,2000
2023-05-24 14:19:39,92,W+1.0,24.904,2000
2023-05-24 14:19:57,32,W+1.0,24.9136,2000
2023-05-24 14:20:15,33,B+1.0,24.93,2000
2023-05-24 14:20:39,44,W+1.0,24.9761,2000
2023-05-24 14:21:10,56,W+1.0,25.1247,2000
2023-05-24 14:21:51,69,B+1.0,25.4082,2000
2023-05-24 14:22:08,34,W+1.0,25.4332,2000
2023-05-24 14:22:34,47,B+1.0,25.598,2000
2023-05-24 14:23:10,62,W+1.0,25.854,2000
2023-05-24 14:23:31,39,B+1.0,25.9435,2000
2023-05-24 14:24:07,63,B+1.0,26.1069,2000
2023-05-24 14:24:31,49,B+1.0,26.0975,2000
2023-05-24 14:25:08,63,B+1.0,26.2901,2000
2023-05-24 14:26:53,43,B+1.0,26.4707,3000
2023-05-24 14:27:06,26,W+1.0,26.499,3000
2023-05-24 14:27:34,49,B+1.0,26.6437,3000
2023-05-24 14:27:56,39,B+1.0,26.6555,3000
2023-05-24 14:28:11,29,B+1.0,26.5929,3000
2023-05-24 14:28:35,42,W+1.0,26.6174,3000
2023-05-24 14:28:54,36,W+1.0,26.6318,3000
2023-05-24 14:29:29,60,W+1.0,26.8392,3000
2023-05-24 14:29:59,53,B+1.0,26.99,3000
2023-05-24 14:30:31,58,W+1.0,27.1275,3000
2023-05-24 14:30:51,36,W+1.0,27.1292,3000
2023-05-24 14:31:10,35,B+1.0,27.1653,3000
2023-05-24 14:31:35,44,W+1.0,27.2568,3000
2023-05-24 14:32:12,67,B+1.0,27.5097,3000
2023-05-24 14:32:36,43,B+1.0,27.3554,3000
2023-05-24 14:33:12,64,W+1.0,27.1312,3000
2023-05-24 14:33:38,49,B+1.0,26.9451,3000
2023-05-24 14:33:59,39,B+1.0,26.8214,3000
2023-05-24 14:34:20,38,W+1.0,26.6361,3000
2023-05-24 14:34:49,53,B+1.0,26.6084,3000
2023-05-24 14:35:13,43,B+1.0,26.5883,3000
2023-05-24 14:35:31,35,B+1.0,26.3694,3000
2023-05-24 14:35:53,40,W+1.0,26.254,3000
2023-05-24 14:36:15,39,B+1.0,26.1928,3000
2023-05-24 14:36:33,33,B+1.0,26.1992,3000
2023-05-24 14:36:55,41,B+1.0,26.132,3000
2023-05-24 14:37:30,62,W+1.0,26.2274,3000
2023-05-24 14:37:47,33,B+1.0,26.0359,3000
2023-05-24 14:38:13,46,W+1.0,26.0985,3000
2023-05-24 14:38:40,50,W+1.0,26.0944,3000
2023-05-24 14:39:07,47,B+1.0,26.1543,3000
2023-05-24 14:39:40,61,B+1.0,26.18,3000
2023-05-24 14:40:14,59,B+1.0,26.1835,3000
2023-05-24 14:40:39,44,W+1.0,26.2506,3000
2023-05-24 14:40:57,34,W+1.0,26.1832,3000
2023-05-24 14:41:15,34,W+1.0,26.1057,3000
2023-05-24 14:41:55,77,B+1.0,26.2455,3000
2023-05-24 14:42:15,36,W+1.0,26.1605,3000
2023-05-24 14:43:01,77,B+1.0,26.4535,3000
2023-05-24 14:43:32,60,W+1.0,26.5191,3000
2023-05-24 14:43:54,40,W+1.0,26.4708,3000
2023-05-24 14:44:19,46,W+1.0,26.3745,3000
2023-05-24 14:44:44,48,W+1.0,26.4275,3000
2023-05-24 14:45:11,54,W+1.0,26.4947,3000
2023-05-24 14:45:33,41,B+1.0,26.5728,3000
2023-05-24 14:46:45,28,W+1.0,26.578,4000
2023-05-24 14:47:07,38,W+1.0,26.5054,4000
2023-05-24 14:47:35,49,B+1.0,26.5372,4000
2023-05-24 14:48:00,44,W+1.0,26.4102,4000
2023-05-24 14:48:17,30,W+1.0,26.304,4000
2023-05-24 14:48:49,53,B+1.0,26.2715,4000
2023-05-24 14:49:05,28,W+1.0,26.2415,4000
2023-05-24 14:49:47,73,B+1.0,26.3248,4000
2023-05-24 14:50:21,57,B+1.0,26.4483,4000
2023-05-24 14:50:43,41,B+1.0,26.4042,4000
2023-05-24 14:50:58,26,W+1.0,26.1476,4000
2023-05-24 14:51:30,55,B+1.0,26.2351,4000
2023-05-24 14:51:49,32,W+1.0,26.172,4000
2023-05-24 14:52:08,34,W+1.0,26.0851,4000
2023-05-24 14:52:33,46,W+1.0,26.1412,4000
2023-05-24 14:53:11,68,W+1.0,26.3255,4000
2023-05-24 14:53:34,41,B+1.0,26.2733,4000
2023-05-24 14:54:10,63,B+1.0,26.4198,4000
2023-05-24 14:54:33,40,W+1.0,26.2387,4000
2023-05-24 14:55:11,62,W+1.0,26.3805,4000
2023-05-24 14:55:55,79,B+1.0,26.5159,4000
2023-05-24 14:56:26,55,B+1.0,26.5317,4000
2023-05-24 14:57:05,65,B+1.0,26.7369,4000
2023-05-24 14:57:31,45,B+1.0,26.6948,4000
2023-05-24 14:57:55,40,W+1.0,26.597,4000
2023-05-24 14:58:16,38,W+1.0,26.3334,4000
2023-05-24 14:58:53,62,W+1.0,26.4449,4000
2023-05-24 14:59:32,64,W+1.0,26.5596,4000
2023-05-24 15:00:06,58,W+1.0,26.6873,4000
2023-05-24 15:00:40,54,W+1.0,26.8927,4000
2023-05-24 15:01:10,53,B+1.0,26.9469,4000
2023-05-24 15:01:34,42,W+1.0,27.0702,4000
2023-05-24 15:01:59,43,B+1.0,26.8959,4000
2023-05-24 15:02:17,31,B+1.0,26.8425,4000
2023-05-24 15:02:48,54,W+1.0,26.8838,4000
2023-05-24 15:03:11,39,B+1.0,26.879,4000
2023-05-24 15:03:42,52,W+1.0,26.8782,4000
2023-05-24 15:04:06,45,B+1.0,26.8614,4000
2023-05-24 15:04:23,31,B+1.0,26.7355,4000
2023-05-24 15:06:23,60,W+1.0,26.7404,5000
2023-05-24 15:07:01,62,W+1.0,26.9453,5000
2023-05-24 15:07:32,52,W+1.0,27.0714,5000
2023-05-24 15:08:09,61,B+1.0,27.1954,5000
2023-05-24 15:08:44,59,B+1.0,27.2343,5000
2023-05-24 15:09:06,39,B+1.0,27.0515,5000
2023-05-24 15:09:38,55,B+1.0,27.1999,5000
2023-05-24 15:10:01,40,W+1.0,27.1656,5000
2023-05-24 15:10:24,42,W+1.0,27.0305,5000
2023-05-24 15:10:51,47,B+1.0,27.0965,5000
2023-05-24 15:11:19,50,W+1.0,27.0155,5000
2023-05-24 15:11:40,38,W+1.0,26.9834,5000
2023-05-24 15:12:09,50,W+1.0,26.9111,5000
2023-05-24 15:12:46,64,W+1.0,27.0107,5000
2023-05-24 15:13:11,43,B+1.0,27.0128,5000
2023-05-24 15:13:39,47,B+1.0,27.1491,5000
2023-05-24 15:14:08,48,W+1.0,27.1624,5000
2023-05-24 15:14:33,43,B+1.0,27.2014,5000
2023-05-24 15:15:03,52,W+1.0,27.3426,5000
2023-05-24 15:15:35,54,W+1.0,27.4312,5000
2023-05-24 15:15:50,28,W+1.0,27.3936,5000
2023-05-24 15:16:19,50,W+1.0,27.3252,5000
2023-05-24 15:16:32,23,B+1.0,27.158,5000
2023-05-24 15:17:01,54,W+1.0,27.1248,5000
2023-05-24 15:17:21,36,W+1.0,27.1271,5000
2023-05-24 15:17:52,51,B+1.0,27.2412,5000
2023-05-24 15:18:03,19,B+1.0,27.1036,5000
2023-05-24 15:18:32,53,B+1.0,27.0302,5000
2023-05-24 15:18:53,35,B+1.0,26.9916,5000
2023-05-24 15:19:15,39,B+1.0,26.8654,5000
2023-05-24 15:19:46,51,B+1.0,26.9077,5000
2023-05-24 15:20:08,38,W+1.0,26.9168,5000
2023-05-24 15:20:31,42,W+1.0,26.9353,5000
2023-05-24 15:21:10,66,W+1.0,27.0395,5000
2023-05-24 15:21:39,50,W+1.0,27.0891,5000
2023-05-24 15:22:09,51,B+1.0,27.2093,5000
2023-05-24 15:22:35,43,B+1.0,27.2458,5000
2023-05-24 15:23:14,68,W+1.0,27.4199,5000
2023-05-24 15:23:33,33,B+1.0,27.4276,5000
2023-05-24 15:23:53,35,B+1.0,27.4158,5000
2023-05-24 15:25:33,57,B+1.0,27.478,6000
2023-05-24 15:25:49,29,B+1.0,27.384,6000
2023-05-24 15:26:17,51,B+1.0,27.3945,6000
2023-05-24 15:26:43,45,B+1.0,27.3889,6000
2023-05-24 15:27:20,61,B+1.0,27.4272,6000
2023-05-24 15:27:37,30,W+1.0,27.2567,6000
2023-05-24 15:28:10,57,B+1.0,27.3351,6000
2023-05-24 15:28:28,32,W+1.0,27.3303,6000
2023-05-24 15:28:52,44,W+1.0,27.3942,6000
2023-05-24 15:29:27,64,W+1.0,27.3392,6000
2023-05-24 15:29:59,57,B+1.0,27.4668,6000
2023-05-24 15:30:23,45,B+1.0,27.2432,6000
2023-05-24 15:30:52,50,W+1.0,27.2284,6000
2023-05-24 15:31:15,40,W+1.0,27.2393,6000
2023-05-24 15:31:44,53,B+1.0,27.274,6000
2023-05-24 15:32:06,41,B+1.0,27.2432,6000
