datetime,game_length,game_result,time_per_game,training_steps
2023-05-24 13:25:20,53,B+1.0,17.2223,0
2023-05-24 13:25:45,75,B+1.0,21.4071,0
2023-05-24 13:26:07,63,B+1.0,21.3094,0
2023-05-24 13:26:20,42,W+1.0,19.3295,0
2023-05-24 13:26:28,25,B+1.0,17.1437,0
2023-05-24 13:26:45,51,B+1.0,17.0799,0
2023-05-24 13:27:01,48,W+1.0,16.9524,0
2023-05-24 13:27:25,67,B+1.0,17.7631,0
2023-05-24 13:27:51,76,W+1.0,18.7448,0
2023-05-24 13:28:15,67,B+1.0,19.2345,0
2023-05-24 13:28:45,82,W+1.0,20.2465,0
2023-05-24 13:29:00,44,W+1.0,19.7843,0
2023-05-24 13:29:13,38,W+1.0,19.2256,0
2023-05-24 13:29:35,63,B+1.0,19.4325,0
2023-05-24 13:29:39,13,B+1.0,18.3982,0
2023-05-24 13:29:58,58,W+1.0,18.4913,0
2023-05-24 13:30:25,72,W+1.0,18.9562,0
2023-05-24 13:30:47,62,W+1.0,19.1059,0
2023-05-24 13:31:05,53,B+1.0,19.0738,0
2023-05-24 13:31:21,46,W+1.0,18.9182,0
2023-05-24 13:31:31,31,B+1.0,18.498,0
2023-05-24 13:31:40,28,W+1.0,18.0773,0
2023-05-24 13:31:58,50,W+1.0,18.0447,0
2023-05-24 13:32:19,60,W+1.0,18.1749,0
2023-05-24 13:32:39,57,B+1.0,18.2676,0
2023-05-24 13:33:06,71,B+1.0,18.5931,0
2023-05-24 13:33:30,67,B+1.0,18.7857,0
2023-05-24 13:33:40,33,B+1.0,18.49,0
2023-05-24 13:34:07,74,W+1.0,18.7848,0
2023-05-24 13:34:30,62,W+1.0,18.9095,0
2023-05-24 13:34:46,50,W+1.0,18.8248,0
2023-05-24 13:35:05,54,W+1.0,18.8109,0
2023-05-24 13:35:30,73,B+1.0,19.0212,0
2023-05-24 13:35:48,51,B+1.0,18.9809,0
2023-05-24 13:35:59,33,B+1.0,18.7531,0
2023-05-24 13:36:20,59,B+1.0,18.8055,0
2023-05-24 13:36:44,69,B+1.0,18.9515,0
2023-05-24 13:36:52,26,W+1.0,18.6764,0
2023-05-24 13:37:10,51,B+1.0,18.6501,0
2023-05-24 13:37:25,45,B+1.0,18.5501,0
2023-05-24 13:37:44,57,B+1.0,18.5809,0
2023-05-24 13:37:59,44,W+1.0,18.4898,0
2023-05-24 13:38:10,34,W+1.0,18.3156,0
2023-05-24 13:38:25,43,B+1.0,18.2337,0
2023-05-24 13:38:34,30,W+1.0,18.0374,0
2023-05-24 13:38:50,45,B+1.0,17.9765,0
2023-05-24 13:39:07,52,W+1.0,17.9685,0
2023-05-24 13:39:31,68,W+1.0,18.0914,0
2023-05-24 13:39:54,65,B+1.0,18.1928,0
2023-05-24 13:40:14,56,W+1.0,18.2185,0
2023-05-24 13:40:24,29,B+1.0,18.0608,0
2023-05-24 13:40:49,72,W+1.0,18.2051,0
2023-05-24 13:41:00,31,B+1.0,18.0555,0
2023-05-24 13:41:23,66,W+1.0,18.147,0
2023-05-24 13:41:50,79,B+1.0,18.3138,0
2023-05-24 13:42:08,53,B+1.0,18.3106,0
2023-05-24 13:42:31,69,B+1.0,18.3988,0
2023-05-24 13:42:53,64,W+1.0,18.4563,0
2023-05-24 13:43:06,39,B+1.0,18.3652,0
2023-05-24 13:43:17,37,B+1.0,18.2461,0
2023-05-24 13:43:39,62,W+1.0,18.3041,0
2023-05-24 13:45:05,45,B+1.0,18.2927,1000
2023-05-24 13:45:22,33,B+1.0,18.2831,1000
2023-05-24 13:45:50,54,W+1.0,18.4226,1000
2023-05-24 13:46:25,66,W+1.0,18.6733,1000
2023-05-24 13:46:39,30,W+1.0,18.6175,1000
2023-05-24 13:47:09,56,W+1.0,18.772,1000
2023-05-24 13:47:45,70,W+1.0,19.032,1000
2023-05-24 13:48:25,73,B+1.0,19.3266,1000
2023-05-24 13:48:53,55,B+1.0,19.4547,1000
2023-05-24 13:49:14,40,W+1.0,19.4713,1000
2023-05-24 13:49:37,46,W+1.0,19.5187,1000
2023-05-24 13:50:10,63,B+1.0,19.699,1000
2023-05-24 13:50:25,30,W+1.0,19.6386,1000
2023-05-24 13:50:56,58,W+1.0,19.7842,1000
2023-05-24 13:51:13,36,W+1.0,19.758,1000
2023-05-24 13:51:32,35,B+1.0,19.7368,1000
2023-05-24 13:51:53,42,W+1.0,19.7601,1000
2023-05-24 13:52:19,49,B+1.0,19.8378,1000
2023-05-24 13:52:38,37,B+1.0,19.8312,1000
2023-05-24 13:52:48,19,B+1.0,19.7054,1000
2023-05-24 13:53:18,57,B+1.0,19.832,1000
2023-05-24 13:53:48,57,B+1.0,19.9475,1000
2023-05-24 13:54:09,41,B+1.0,19.966,1000
2023-05-24 13:54:36,53,B+1.0,20.0504,1000
2023-05-24 13:55:04,53,B+1.0,20.1346,1000
2023-05-24 13:55:27,45,B+1.0,20.17,1000
2023-05-24 13:55:50,44,W+1.0,20.1956,1000
2023-05-24 13:56:16,52,W+1.0,20.2704,1000
2023-05-24 13:56:46,57,B+1.0,20.3764,1000
2023-05-24 13:57:11,48,W+1.0,20.425,1000
2023-05-24 13:57:35,46,W+1.0,20.4607,1000
2023-05-24 13:58:01,51,B+1.0,20.518,1000
2023-05-24 13:58:33,59,B+1.0,20.6388,1000
2023-05-24 13:58:50,34,W+1.0,20.6012,1000
2023-05-24 13:59:21,60,W+1.0,20.7125,1000
2023-05-24 13:59:49,53,B+1.0,20.7815,1000
2023-05-24 14:00:12,45,B+1.0,20.808,1000
2023-05-24 14:00:47,67,B+1.0,20.9454,1000
2023-05-24 14:01:02,31,B+1.0,20.9288,1000
2023-05-24 14:01:33,58,W+1.0,20.9795,1000
2023-05-24 14:01:56,45,B+1.0,20.9995,1000
2023-05-24 14:02:18,43,B+1.0,21.0856,1000
2023-05-24 14:02:36,35,B+1.0,21.1772,1000
2023-05-24 14:03:03,51,B+1.0,21.2811,1000
2023-05-24 14:03:36,64,W+1.0,21.4517,1000
2023-05-24 14:03:55,37,B+1.0,21.4094,1000
2023-05-24 14:04:20,46,W+1.0,21.3956,1000
2023-05-24 14:04:46,47,B+1.0,21.4128,1000
2023-05-24 14:06:28,58,W+1.0,21.4819,2000
2023-05-24 14:06:48,38,W+1.0,21.5539,2000
2023-05-24 14:07:06,35,B+1.0,21.51,2000
2023-05-24 14:07:31,51,B+1.0,21.7263,2000
2023-05-24 14:07:49,34,W+1.0,21.6987,2000
2023-05-24 14:08:10,43,B+1.0,21.6525,2000
2023-05-24 14:08:37,53,B+1.0,21.7069,2000
2023-05-24 14:09:13,66,W+1.0,21.8777,2000
2023-05-24 14:09:25,22,W+1.0,21.834,2000
2023-05-24 14:09:47,41,B+1.0,21.9564,2000
2023-05-24 14:10:04,32,W+1.0,22.0339,2000
2023-05-24 14:10:36,62,W+1.0,22.1858,2000
2023-05-24 14:10:54,32,W+1.0,22.1506,2000
2023-05-24 14:11:26,57,B+1.0,22.2656,2000
2023-05-24 14:11:52,49,B+1.0,22.2554,2000
2023-05-24 14:12:26,62,W+1.0,22.3617,2000
2023-05-24 14:12:56,57,B+1.0,22.5514,2000
2023-05-24 14:13:24,54,W+1.0,22.5628,2000
2023-05-24 14:13:47,46,W+1.0,22.5654,2000
2023-05-24 14:14:18,56,W+1.0,22.7142,2000
2023-05-24 14:14:56,70,W+1.0,22.9145,2000
2023-05-24 14:15:24,52,W+1.0,22.9383,2000
2023-05-24 14:15:46,42,W+1.0,22.9808,2000
2023-05-24 14:16:00,27,B+1.0,23.0096,2000
2023-05-24 14:16:34,62,W+1.0,23.1433,2000
2023-05-24 14:16:50,31,B+1.0,23.0616,2000
2023-05-24 14:17:25,71,B+1.0,23.3262,2000
2023-05-24 14:17:39,27,B+1.0,23.2882,2000
2023-05-24 14:18:10,59,B+1.0,23.4543,2000
2023-05-24 14:18:27,34,W+1.0,23.4253,2000
2023-05-24 14:18:43,30,W+1.0,23.4371,2000
2023-05-24 14:19:13,59,B+1.0,23.6292,2000
2023-05-24 14:19:42,50,W+1.0,23.7705,2000
2023-05-24 14:20:10,50,W+1.0,23.9528,2000
2023-05-24 14:20:44,65,B+1.0,24.1454,2000
2023-05-24 14:20:55,21,B+1.0,24.0774,2000
2023-05-24 14:21:21,49,B+1.0,24.0957,2000
2023-05-24 14:21:58,66,W+1.0,24.2379,2000
2023-05-24 14:22:13,28,W+1.0,24.193,2000
2023-05-24 14:22:37,42,W+1.0,24.3256,2000
2023-05-24 14:22:56,35,B+1.0,24.2601,2000
2023-05-24 14:23:26,56,W+1.0,24.4607,2000
2023-05-24 14:23:46,41,B+1.0,24.4292,2000
2023-05-24 14:24:09,45,B+1.0,24.3879,2000
2023-05-24 14:24:48,70,W+1.0,24.5955,2000
2023-05-24 14:25:16,55,B+1.0,24.641,2000
2023-05-24 14:25:34,34,W+1.0,24.6056,2000
2023-05-24 14:26:47,33,B+1.0,24.8135,3000
2023-05-24 14:27:11,43,B+1.0,24.8365,3000
2023-05-24 14:27:53,74,W+1.0,25.1406,3000
2023-05-24 14:28:10,33,B+1.0,25.065,3000
2023-05-24 14:28:49,72,W+1.0,25.2767,3000
2023-05-24 14:28:59,19,B+1.0,25.108,3000
2023-05-24 14:29:16,32,W+1.0,24.9263,3000
2023-05-24 14:29:39,42,W+1.0,25.0071,3000
2023-05-24 14:30:04,49,B+1.0,24.9716,3000
2023-05-24 14:30:24,35,B+1.0,24.7957,3000
2023-05-24 14:30:48,47,B+1.0,24.6425,3000
2023-05-24 14:31:10,40,W+1.0,24.5777,3000
2023-05-24 14:31:46,66,W+1.0,24.7346,3000
2023-05-24 14:32:04,36,W+1.0,24.6818,3000
2023-05-24 14:32:42,71,B+1.0,24.736,3000
2023-05-24 14:33:07,46,W+1.0,24.8372,3000
2023-05-24 14:33:32,43,B+1.0,24.7732,3000
2023-05-24 14:34:00,53,B+1.0,24.8819,3000
2023-05-24 14:34:21,39,B+1.0,24.9097,3000
2023-05-24 14:34:43,40,W+1.0,24.9138,3000
2023-05-24 14:35:10,49,B+1.0,24.9216,3000
2023-05-24 14:35:35,46,W+1.0,24.9831,3000
2023-05-24 14:36:04,52,W+1.0,25.1692,3000
2023-05-24 14:36:32,50,W+1.0,25.1463,3000
2023-05-24 14:37:02,55,B+1.0,25.1556,3000
2023-05-24 14:37:21,36,W+1.0,25.1345,3000
2023-05-24 14:37:41,38,W+1.0,25.0607,3000
2023-05-24 14:38:04,42,W+1.0,25.0129,3000
2023-05-24 14:38:45,74,W+1.0,25.1958,3000
2023-05-24 14:39:16,56,W+1.0,25.2788,3000
2023-05-24 14:39:30,25,B+1.0,25.1453,3000
2023-05-24 14:39:56,47,B+1.0,25.1083,3000
2023-05-24 14:40:29,62,W+1.0,25.1872,3000
2023-05-24 14:40:59,53,B+1.0,25.2514,3000
2023-05-24 14:41:20,44,W+1.0,25.2019,3000
2023-05-24 14:41:55,61,B+1.0,25.2324,3000
2023-05-24 14:42:36,74,W+1.0,25.4763,3000
2023-05-24 14:43:02,47,B+1.0,25.4186,3000
2023-05-24 14:43:26,44,W+1.0,25.3875,3000
2023-05-24 14:43:53,48,W+1.0,25.417,3000
2023-05-24 14:44:34,78,W+1.0,25.4874,3000
2023-05-24 14:44:48,27,B+1.0,25.471,3000
2023-05-24 14:45:17,52,W+1.0,25.4496,3000
2023-05-24 14:46:42,25,B+1.0,25.3353,4000
2023-05-24 14:46:53,21,B+1.0,25.2714,4000
2023-05-24 14:47:19,47,B+1.0,25.2587,4000
2023-05-24 14:47:37,33,B+1.0,25.1068,4000
2023-05-24 14:47:58,38,W+1.0,25.1258,4000
2023-05-24 14:48:26,48,W+1.0,25.146,4000
2023-05-24 14:48:48,38,W+1.0,25.1166,4000
2023-05-24 14:49:13,44,W+1.0,25.1545,4000
2023-05-24 14:49:53,71,B+1.0,25.248,4000
2023-05-24 14:50:10,30,W+1.0,25.2229,4000
2023-05-24 14:50:26,27,B+1.0,25.2014,4000
2023-05-24 14:51:08,69,B+1.0,25.3705,4000
2023-05-24 14:51:41,55,B+1.0,25.5212,4000
2023-05-24 14:52:01,36,W+1.0,25.5056,4000
2023-05-24 14:52:27,46,W+1.0,25.4967,4000
2023-05-24 14:52:51,43,B+1.0,25.3809,4000
2023-05-24 14:53:16,44,W+1.0,25.5142,4000
2023-05-24 14:53:47,55,B+1.0,25.602,4000
2023-05-24 14:54:06,34,W+1.0,25.622,4000
2023-05-24 14:54:34,52,W+1.0,25.5806,4000
2023-05-24 14:55:12,67,B+1.0,25.7837,4000
2023-05-24 14:55:40,48,W+1.0,25.7366,4000
2023-05-24 14:56:13,60,W+1.0,25.8108,4000
2023-05-24 14:56:49,63,B+1.0,25.8245,4000
2023-05-24 14:57:20,56,W+1.0,25.8447,4000
2023-05-24 14:57:32,22,W+1.0,25.6863,4000
2023-05-24 14:57:50,34,W+1.0,25.63,4000
2023-05-24 14:58:10,36,W+1.0,25.5189,4000
2023-05-24 14:58:36,50,W+1.0,25.4028,4000
2023-05-24 14:59:12,66,W+1.0,25.4755,4000
2023-05-24 14:59:36,44,W+1.0,25.4939,4000
2023-05-24 15:00:03,49,B+1.0,25.6278,4000
2023-05-24 15:00:45,75,B+1.0,25.7092,4000
2023-05-24 15:01:21,66,W+1.0,25.905,4000
2023-05-24 15:01:51,56,W+1.0,25.8556,4000
2023-05-24 15:02:26,60,W+1.0,26.0656,4000
2023-05-24 15:03:01,64,W+1.0,26.1086,4000
2023-05-24 15:03:30,53,B+1.0,26.2291,4000
