datetime,game_length,game_result,time_per_game,training_steps
2023-05-24 13:26:00,49,B+1.0,48.1159,0
2023-05-24 13:26:55,58,W+1.0,51.8085,0
2023-05-24 13:27:52,58,W+1.0,53.3708,0
2023-05-24 13:28:59,68,W+1.0,56.8169,0
2023-05-24 13:29:36,42,W+1.0,52.9744,0
2023-05-24 13:30:26,52,W+1.0,52.3989,0
2023-05-24 13:31:16,53,B+1.0,52.1286,0
2023-05-24 13:32:08,54,W+1.0,52.0407,0
2023-05-24 13:32:37,33,B+1.0,49.5336,0
2023-05-24 13:33:08,34,W+1.0,47.6549,0
2023-05-24 13:33:32,36,W+1.0,45.4608,0
2023-05-24 13:33:48,29,B+1.0,43.0478,0
2023-05-24 13:34:56,95,B+1.0,44.9427,0
2023-05-24 13:35:38,65,B+1.0,44.7281,0
2023-05-24 13:36:09,52,W+1.0,43.856,0
2023-05-24 13:36:27,30,W+1.0,42.2134,0
2023-05-24 13:37:03,59,B+1.0,41.8628,0
2023-05-24 13:37:30,44,W+1.0,41.0293,0
2023-05-24 13:38:01,50,W+1.0,40.4979,0
2023-05-24 13:38:44,65,B+1.0,40.6203,0
2023-05-24 13:39:13,46,W+1.0,40.0501,0
2023-05-24 13:39:36,40,W+1.0,39.2913,0
2023-05-24 13:40:03,44,W+1.0,38.7551,0
2023-05-24 13:40:20,29,B+1.0,37.8691,0
2023-05-24 13:40:54,53,B+1.0,37.7052,0
2023-05-24 13:41:21,43,B+1.0,37.2884,0
2023-05-24 13:41:40,32,W+1.0,36.595,0
2023-05-24 13:42:15,57,B+1.0,36.5709,0
2023-05-24 13:42:55,63,B+1.0,36.6764,0
2023-05-24 13:43:23,46,W+1.0,36.3989,0
2023-05-24 13:45:04,46,W+1.0,36.0422,1000
2023-05-24 13:45:29,47,B+1.0,35.7031,1000
2023-05-24 13:45:56,50,W+1.0,35.4352,1000
2023-05-24 13:46:23,51,B+1.0,35.1954,1000
2023-05-24 13:46:38,29,B+1.0,34.6269,1000
2023-05-24 13:47:15,70,W+1.0,34.7078,1000
2023-05-24 13:47:55,71,B+1.0,34.8471,1000
2023-05-24 13:48:24,54,W+1.0,34.6889,1000
2023-05-24 13:48:43,39,B+1.0,34.3054,1000
2023-05-24 13:49:19,69,B+1.0,34.3469,1000
2023-05-24 13:49:44,47,B+1.0,34.1152,1000
2023-05-24 13:50:10,49,B+1.0,33.9329,1000
2023-05-24 13:50:42,60,W+1.0,33.8855,1000
2023-05-24 13:51:09,51,B+1.0,33.7336,1000
2023-05-24 13:51:42,59,B+1.0,33.7197,1000
2023-05-24 13:52:05,42,W+1.0,33.4886,1000
2023-05-24 13:52:33,53,B+1.0,33.3801,1000
2023-05-24 13:53:01,53,B+1.0,33.2612,1000
2023-05-24 13:53:34,60,W+1.0,33.2538,1000
2023-05-24 13:53:57,44,W+1.0,33.0589,1000
2023-05-24 13:54:39,75,B+1.0,33.23,1000
2023-05-24 13:55:01,41,B+1.0,33.0176,1000
2023-05-24 13:55:41,71,B+1.0,33.1463,1000
2023-05-24 13:56:26,79,B+1.0,33.3604,1000
2023-05-24 13:56:52,50,W+1.0,33.2219,1000
2023-05-24 13:57:14,44,W+1.0,33.0401,1000
2023-05-24 13:57:46,57,B+1.0,33.0165,1000
2023-05-24 13:58:18,61,B+1.0,33.0015,1000
2023-05-24 13:58:42,46,W+1.0,32.8433,1000
2023-05-24 13:59:19,67,B+1.0,32.9132,1000
2023-05-24 13:59:48,56,W+1.0,32.8492,1000
2023-05-24 14:00:21,60,W+1.0,32.8585,1000
2023-05-24 14:00:56,65,B+1.0,32.8853,1000
