datetime,game_length,game_result,time_per_game,training_steps
2023-05-24 13:25:53,62,W+1.0,43.4297,0
2023-05-24 13:27:18,74,W+1.0,64.5415,0
2023-05-24 13:28:19,57,B+1.0,63.196,0
2023-05-24 13:28:56,41,B+1.0,56.7298,0
2023-05-24 13:29:26,42,W+1.0,51.4303,0
2023-05-24 13:30:48,71,B+1.0,56.4363,0
2023-05-24 13:32:06,65,B+1.0,59.5871,0
2023-05-24 13:33:08,56,W+1.0,59.8682,0
2023-05-24 13:34:23,73,B+1.0,61.5776,0
2023-05-24 13:35:07,53,B+1.0,59.7277,0
2023-05-24 13:35:32,31,B+1.0,56.6346,0
2023-05-24 13:37:01,73,B+1.0,59.3074,0
2023-05-24 13:37:37,37,B+1.0,57.5217,0
2023-05-24 13:38:19,44,W+1.0,56.3787,0
2023-05-24 13:38:43,28,W+1.0,54.2624,0
2023-05-24 13:40:09,74,W+1.0,56.2221,0
2023-05-24 13:41:00,53,B+1.0,55.9345,0
2023-05-24 13:41:46,42,W+1.0,55.3767,0
2023-05-24 13:42:33,48,W+1.0,54.9064,0
2023-05-24 13:42:59,30,W+1.0,53.4675,0
2023-05-24 13:43:45,47,B+1.0,53.1459,0
2023-05-24 13:45:12,54,W+1.0,51.0887,1000
2023-05-24 13:45:38,45,B+1.0,50.0415,1000
2023-05-24 13:46:02,42,W+1.0,49.0095,1000
2023-05-24 13:46:34,52,W+1.0,48.3267,1000
2023-05-24 13:47:26,83,B+1.0,48.4803,1000
2023-05-24 13:47:44,32,W+1.0,47.3849,1000
2023-05-24 13:48:24,68,W+1.0,47.137,1000
2023-05-24 13:49:04,63,B+1.0,46.8762,1000
2023-05-24 13:49:30,47,B+1.0,46.2252,1000
2023-05-24 13:50:04,57,B+1.0,45.8443,1000
2023-05-24 13:50:28,42,W+1.0,45.1615,1000
2023-05-24 13:51:07,53,B+1.0,44.9938,1000
2023-05-24 13:51:38,40,W+1.0,44.5827,1000
2023-05-24 13:52:03,43,B+1.0,44.0522,1000
2023-05-24 13:52:42,65,B+1.0,43.9191,1000
2023-05-24 13:53:04,33,B+1.0,43.3346,1000
2023-05-24 13:53:47,47,B+1.0,43.32,1000
2023-05-24 13:54:35,74,W+1.0,43.4309,1000
2023-05-24 13:55:08,58,W+1.0,43.1875,1000
2023-05-24 13:55:37,48,W+1.0,42.8468,1000
2023-05-24 13:56:17,68,W+1.0,42.7856,1000
2023-05-24 13:56:45,47,B+1.0,42.4444,1000
2023-05-24 13:57:17,56,W+1.0,42.2191,1000
2023-05-24 13:57:43,45,B+1.0,41.8616,1000
2023-05-24 13:58:11,48,W+1.0,41.5603,1000
2023-05-24 13:58:46,58,W+1.0,41.4218,1000
2023-05-24 13:59:36,82,W+1.0,41.6077,1000
2023-05-24 14:00:09,54,W+1.0,41.4247,1000
2023-05-24 14:00:41,55,B+1.0,41.2549,1000
2023-05-24 14:01:20,64,W+1.0,41.2028,1000
2023-05-24 14:01:50,52,W+1.0,40.9903,1000
2023-05-24 14:02:31,68,W+1.0,40.9957,1000
2023-05-24 14:03:02,52,W+1.0,40.819,1000
2023-05-24 14:03:39,63,B+1.0,40.7531,1000
2023-05-24 14:04:07,44,W+1.0,40.5145,1000
2023-05-24 14:04:25,32,W+1.0,40.1318,1000
2023-05-24 14:04:46,37,B+1.0,39.8119,1000
2023-05-24 14:05:05,33,B+1.0,39.4544,1000
2023-05-24 14:06:32,59,B+1.0,39.034,2000
2023-05-24 14:07:00,46,W+1.0,38.8447,2000
2023-05-24 14:07:19,35,B+1.0,38.5424,2000
2023-05-24 14:07:35,28,W+1.0,38.1878,2000
2023-05-24 14:08:03,49,B+1.0,38.0419,2000
2023-05-24 14:08:30,50,W+1.0,37.8762,2000
2023-05-24 14:09:06,64,W+1.0,37.8522,2000
2023-05-24 14:09:45,63,B+1.0,37.8679,2000
2023-05-24 14:10:21,61,B+1.0,37.8345,2000
2023-05-24 14:10:35,24,W+1.0,37.4969,2000
2023-05-24 14:10:53,32,W+1.0,37.2375,2000
2023-05-24 14:11:11,32,W+1.0,36.9737,2000
2023-05-24 14:11:23,23,B+1.0,36.6364,2000
2023-05-24 14:12:07,70,W+1.0,36.7236,2000
2023-05-24 14:12:26,34,W+1.0,36.4911,2000
2023-05-24 14:12:51,48,W+1.0,36.3515,2000
2023-05-24 14:13:23,54,W+1.0,36.2941,2000
2023-05-24 14:13:46,39,B+1.0,36.1235,2000
2023-05-24 14:14:12,46,W+1.0,35.9985,2000
2023-05-24 14:14:56,72,W+1.0,36.0929,2000
2023-05-24 14:15:19,39,B+1.0,35.9365,2000
2023-05-24 14:15:32,24,W+1.0,35.6525,2000
2023-05-24 14:16:01,54,W+1.0,35.5835,2000
2023-05-24 14:16:27,46,W+1.0,35.4703,2000
2023-05-24 14:16:52,45,B+1.0,35.3449,2000
2023-05-24 14:17:19,45,B+1.0,35.248,2000
2023-05-24 14:17:53,59,B+1.0,35.2386,2000
2023-05-24 14:18:29,65,B+1.0,35.2481,2000
2023-05-24 14:18:52,39,B+1.0,35.1108,2000
