timestamp,train_steps,policy_loss,value_loss,learning_rate
2023-04-01 19:10:54,1000,4.394060134887695,0.9109352827072144,0.02
2023-04-01 19:26:05,2000,4.287202835083008,0.859135627746582,0.02
2023-04-01 19:41:17,3000,3.8982205390930176,0.9108720421791077,0.02
2023-04-01 19:56:28,4000,3.556303024291992,0.7568346261978149,0.02
2023-04-01 20:11:40,5000,3.114417314529419,0.72393798828125,0.02
2023-04-01 20:26:52,6000,2.8752341270446777,0.7690489888191223,0.02
2023-04-01 20:42:06,7000,2.288573980331421,0.3637077808380127,0.02
2023-04-01 20:57:18,8000,2.3361544609069824,0.30599865317344666,0.02
2023-04-01 21:12:30,9000,2.02374529838562,0.47383588552474976,0.02
2023-04-01 21:27:42,10000,1.8498785495758057,0.4552275538444519,0.02
2023-04-01 21:42:54,11000,1.8804564476013184,0.38300102949142456,0.02
2023-04-01 21:58:06,12000,1.9989206790924072,0.23579341173171997,0.02
2023-04-01 22:13:17,13000,1.8662015199661255,0.19598352909088135,0.02
2023-04-01 22:28:29,14000,2.024467945098877,0.269368439912796,0.02
2023-04-01 22:43:41,15000,2.2793478965759277,0.2254798710346222,0.02
2023-04-01 22:58:53,16000,2.2402403354644775,0.10883533954620361,0.02
2023-04-01 23:14:05,17000,2.096637487411499,0.06783682107925415,0.02
2023-04-01 23:29:16,18000,2.206834554672241,0.051495496183633804,0.02
2023-04-01 23:44:27,19000,2.1619696617126465,0.009715992957353592,0.02
2023-04-01 23:59:39,20000,2.3589773178100586,0.0466778427362442,0.02
2023-04-02 00:14:50,21000,2.201498031616211,0.09555976092815399,0.02
2023-04-02 00:30:02,22000,2.3638670444488525,0.011928307823836803,0.02
2023-04-02 00:45:14,23000,1.9313898086547852,0.12725168466567993,0.02
2023-04-02 01:00:25,24000,2.1363139152526855,0.10119988769292831,0.02
2023-04-02 01:15:37,25000,2.1157426834106445,0.06081152707338333,0.02
2023-04-02 01:30:49,26000,1.844521403312683,0.10676148533821106,0.02
2023-04-02 01:46:00,27000,2.23199462890625,0.15915516018867493,0.02
2023-04-02 02:01:12,28000,2.3097000122070312,0.07880082726478577,0.02
2023-04-02 02:16:23,29000,1.7955440282821655,0.11808954924345016,0.02
2023-04-02 02:31:35,30000,1.8431599140167236,0.17043888568878174,0.02
2023-04-02 02:46:47,31000,2.0465145111083984,0.11795559525489807,0.02
2023-04-02 03:01:58,32000,1.9840750694274902,0.03968089073896408,0.02
2023-04-02 03:17:10,33000,1.9141453504562378,0.09099654853343964,0.02
2023-04-02 03:32:21,34000,1.7425003051757812,0.087984099984169,0.02
2023-04-02 03:47:33,35000,1.6329779624938965,0.09119464457035065,0.02
2023-04-02 04:02:45,36000,1.8045624494552612,0.057418644428253174,0.02
2023-04-02 04:17:56,37000,1.7390540838241577,0.09110412746667862,0.02
2023-04-02 04:33:08,38000,1.385373830795288,0.080356165766716,0.02
2023-04-02 04:48:20,39000,1.6038403511047363,0.08970537036657333,0.02
2023-04-02 05:03:31,40000,1.5170838832855225,0.08072349429130554,0.02
2023-04-02 05:18:44,41000,1.6538450717926025,0.08381221443414688,0.02
2023-04-02 05:33:56,42000,1.499361276626587,0.09720084071159363,0.02
2023-04-02 05:49:07,43000,1.7655916213989258,0.15309777855873108,0.02
2023-04-02 06:04:19,44000,1.4318079948425293,0.04434961825609207,0.02
2023-04-02 06:19:31,45000,1.3180572986602783,0.08184449374675751,0.02
2023-04-02 06:34:42,46000,1.2297996282577515,0.12025261670351028,0.02
2023-04-02 06:49:54,47000,0.8994392156600952,0.10574277490377426,0.02
2023-04-02 07:05:05,48000,1.2493412494659424,0.15220411121845245,0.02
2023-04-02 07:20:17,49000,1.0503517389297485,0.09997484087944031,0.02
2023-04-02 07:35:29,50000,0.9028781056404114,0.125861257314682,0.02
2023-04-02 07:50:41,51000,0.8597179651260376,0.13530784845352173,0.02
2023-04-02 08:05:53,52000,1.0129468441009521,0.12636975944042206,0.02
2023-04-02 08:21:04,53000,0.7678052186965942,0.10975554585456848,0.02
2023-04-02 08:36:16,54000,0.839012622833252,0.05711567401885986,0.02
2023-04-02 08:51:28,55000,0.8144104480743408,0.14985036849975586,0.02
2023-04-02 09:06:40,56000,0.5870227813720703,0.06620629876852036,0.02
2023-04-02 09:21:51,57000,0.8406599164009094,0.08093473315238953,0.02
