datetime,game_length,game_result,num_passes,is_resign_disabled,is_marked_for_resign,is_could_won,marked_resign_player,resign_threshold,time_per_game,training_steps
2023-05-24 04:32:29,80,W+0.5,4,False,False,False,,-0.85,36.4835,0
2023-05-24 04:33:27,145,B+39.5,6,True,False,False,,-1,47.1526,0
2023-05-24 04:34:22,127,W+8.5,11,True,False,False,,-1,49.7549,0
2023-05-24 04:35:15,118,W+34.5,8,True,False,False,,-1,50.6159,0
2023-05-24 04:35:40,54,W+10.5,3,True,False,False,,-1,45.3649,0
2023-05-24 04:36:28,112,W+15.5,3,True,False,False,,-1,45.8797,0
2023-05-24 04:36:56,65,B+3.5,2,True,False,False,,-1,43.3525,0
2023-05-24 04:37:45,114,B+10.5,6,True,False,False,,-1,44.0205,0
2023-05-24 04:38:52,162,W+59.5,14,True,False,False,,-1,46.5983,0
2023-05-24 04:39:41,128,W+47.5,6,True,False,False,,-1,46.7942,0
2023-05-24 04:40:13,101,W+1.5,6,True,False,False,,-1,45.4094,0
2023-05-24 04:40:56,121,B+1.5,8,True,False,False,,-1,45.2323,0
2023-05-24 04:41:55,157,B+58.5,8,True,False,False,,-1,46.3255,0
2023-05-24 04:42:31,95,W+5.5,4,True,False,False,,-1,45.5676,0
2023-05-24 04:43:27,123,W+26.5,7,True,False,False,,-1,46.2588,0
2023-05-24 04:44:22,125,B+36.5,4,True,False,False,,-1,46.7956,0
2023-05-24 04:45:31,162,B+49.5,16,True,False,False,,-1,48.1093,0
2023-05-24 04:46:07,89,B+1.5,3,True,False,False,,-1,47.4426,0
2023-05-24 04:47:04,150,W+57.5,4,True,False,False,,-1,47.9293,0
2023-05-24 04:47:54,125,B+5.5,11,True,False,False,,-1,48.0462,0
2023-05-24 04:48:29,100,B+0.5,4,True,False,False,,-1,47.4414,0
2023-05-24 04:48:58,70,W+15.5,2,True,False,False,,-1,46.5786,0
2023-05-24 04:49:41,98,W+4.5,3,True,False,False,,-1,46.4217,0
2023-05-24 04:50:47,154,W+42.5,4,True,False,False,,-1,47.2483,0
2023-05-24 04:51:25,130,B+0.5,8,True,False,False,,-1,46.8741,0
