datetime,game_length,game_result,num_passes,is_resign_disabled,is_marked_for_resign,is_could_won,marked_resign_player,resign_threshold,time_per_game,training_steps
2023-05-24 04:32:58,95,B+27.5,3,True,False,False,,-1,58.0812,0
2023-05-24 04:33:16,40,W+9.5,2,True,False,False,,-1,37.8876,0
2023-05-24 04:34:21,104,B+2.5,6,True,False,False,,-1,46.8336,0
2023-05-24 04:35:32,103,W+3.5,5,True,False,False,,-1,52.7912,0
2023-05-24 04:36:45,109,B+33.5,6,True,False,False,,-1,56.9989,0
2023-05-24 04:37:41,90,W+9.5,4,True,False,False,,-1,56.7927,0
2023-05-24 04:38:20,70,W+16.5,2,True,False,False,,-1,54.2514,0
2023-05-24 04:39:08,71,B+6.5,2,True,False,False,,-1,53.4105,0
2023-05-24 04:39:30,40,W+7.5,3,True,False,False,,-1,49.9785,0
2023-05-24 04:40:35,102,B+1.5,4,True,False,False,,-1,51.4233,0
2023-05-24 04:41:39,94,B+10.5,5,True,False,False,,-1,52.5699,0
2023-05-24 04:42:54,106,W+19.5,5,True,False,False,,-1,54.44,0
2023-05-24 04:43:56,94,B+1.5,7,True,False,False,,-1,55.0164,0
2023-05-24 04:44:32,66,W+13.5,2,True,False,False,,-1,53.7103,0
2023-05-24 04:45:17,64,W+5.5,3,True,False,False,,-1,53.1248,0
2023-05-24 04:46:10,89,B+3.5,3,True,False,False,,-1,53.1032,0
2023-05-24 04:47:29,121,W+21.5,6,True,False,False,,-1,54.648,0
2023-05-24 04:48:50,103,B+34.5,5,True,False,False,,-1,56.068,0
2023-05-24 04:50:29,142,B+29.5,10,True,False,False,,-1,58.3401,0
2023-05-24 04:51:38,111,B+20.5,6,True,False,False,,-1,58.8604,0
2023-05-24 04:52:35,75,B+0.5,5,True,False,False,,-1,58.7813,0
2023-05-24 04:53:43,110,B+4.5,7,True,False,False,,-1,59.2235,0
2023-05-24 04:55:30,162,B+35.5,7,True,False,False,,-1,61.2653,0
2023-05-24 04:55:47,34,W+7.5,2,True,False,False,,-1,59.4395,0
2023-05-24 04:56:29,66,W+10.5,4,True,False,False,,-1,58.743,0
2023-05-24 04:58:19,148,B+27.5,8,True,False,False,,-1,60.7128,0
2023-05-24 04:59:21,103,W+2.5,7,True,False,False,,-1,60.7676,0
2023-05-24 05:00:24,110,B+6.5,7,True,False,False,,-1,60.8573,0
2023-05-24 05:01:06,72,W+8.5,4,True,False,False,,-1,60.2044,0
2023-05-24 05:01:16,22,W+7.5,2,True,False,False,,-1,58.5296,0
2023-05-24 05:02:25,112,B+4.5,8,True,False,False,,-1,58.8695,0
2023-05-24 05:04:13,148,W+37.5,7,True,False,False,,-1,60.3874,0
2023-05-24 05:05:06,76,W+6.5,5,True,False,False,,-1,60.1617,0
