datetime,training_steps,game_length,game_result,num_passes,black_elo_rating,white_elo_rating,value_mse_error,policy_entropy,policy_top_1_accuracy,policy_top_3_accuracy,policy_top_5_accuracy
2023-05-24 06:53:33,1000,140,B+1.5,29,16.0,-15.263693206478006,0.9290428999912668,4.3405590059864485,0.0288612412414026,0.0743325727094604,0.1149256980672628
2023-05-24 07:37:24,2000,152,B+4.5,23,32.0,0.7363067935219938,0.9411031680714174,4.073578893822197,0.0372711073124712,0.1119149176349166,0.1787439224002386
2023-05-24 08:22:10,3000,81,B+4.5,14,48.0,16.736306793521994,0.916575819375946,3.854687498917301,0.0626119770038945,0.1701308649341643,0.2619411228743519
2023-05-24 09:05:40,4000,132,B+0.5,24,64.0,32.73630679352199,0.910312969492495,3.660722816007077,0.0859709242789527,0.2062908700945807,0.3077220793252755
2023-05-24 09:48:43,5000,137,W+2.5,21,48.73630679352199,80.0,0.9301872532520404,3.457837476253667,0.1049225534385305,0.2488288273760089,0.3599825835947138
2023-05-24 10:26:48,6000,83,B+1.5,4,64.73630679352199,33.47261358704398,0.9085707535096516,3.2421081226279456,0.1244482789205054,0.2864305238628942,0.405878036784093
2023-05-24 11:08:24,7000,135,B+3.5,23,80.73630679352199,49.47261358704398,0.934596777340994,2.952322985640135,0.13658009530644,0.3018101773086816,0.4218463002233493
2023-05-24 11:41:54,8000,96,B+1.5,9,96.736306793522,65.47261358704398,0.9156786809885846,2.8059190330130424,0.1519758750534183,0.3286991719144338,0.4498383338305609
2023-05-24 12:14:02,9000,162,W+1.5,30,81.47261358704398,112.736306793522,0.9148812245184952,2.6807647578353198,0.155204360551842,0.3376799090476612,0.4586126543085445
2023-05-24 12:43:05,10000,134,B+1.5,20,97.47261358704398,66.20892038056597,0.9095236087769882,2.67426526626854,0.1661895969231017,0.3594971819288668,0.4817409954765725
2023-05-24 13:13:36,11000,109,B+2.5,11,113.47261358704398,82.20892038056597,0.8885586400235472,2.519809089933964,0.1728239572330492,0.3634545762411204,0.487696438506382
2023-05-24 13:41:40,12000,102,B+0.5,12,129.47261358704398,98.20892038056596,0.9201381682396096,2.606735785630086,0.1784907394715411,0.3783923690342765,0.5033792664145589
2023-05-24 14:14:52,13000,85,B+3.5,2,145.47261358704398,114.20892038056596,0.8954143508206271,2.4998401227436724,0.1892792349682715,0.3909628208126043,0.5147660476854726
2023-05-24 14:43:20,14000,109,W+2.5,13,130.20892038056598,161.47261358704398,0.9178319326703066,2.487366089666416,0.1943896598156763,0.4012917167253932,0.5251465477620726
2023-05-24 15:09:09,15000,162,W+13.5,45,114.94522717408798,146.20892038056598,0.8985251291090335,2.3851200074323904,0.2042476677336902,0.415634449004604,0.5400440248022512
2023-05-24 15:37:40,16000,106,B+1.5,15,130.94522717408796,99.68153396760997,0.8858693524992428,2.1607541215189947,0.2127962199950008,0.4328250860741326,0.5579764717265624
2023-05-24 16:03:07,17000,103,W+1.5,16,115.68153396760997,146.94522717408796,0.8811823210000844,2.2745623715663736,0.2165342966110578,0.4362616008579192,0.5658670708992832
2023-05-24 16:31:22,18000,133,W+4.5,25,100.41784076113194,131.68153396760994,0.8761342844482204,2.1590872359167586,0.2180598447037195,0.4415558655389007,0.5686198305125745
2023-05-24 16:55:01,19000,136,B+4.5,24,116.41784076113194,85.15414755465393,0.8748117294937151,2.066067743937708,0.2237137259012586,0.4492513364672112,0.5758121608437281
2023-05-24 17:19:34,20000,99,W+1.5,11,101.15414755465392,132.41784076113194,0.8698170751548786,2.150485585023289,0.2297223857249981,0.4562404754033591,0.5819288668854469
2023-05-24 17:44:25,21000,105,W+0.5,20,85.89045434817592,117.15414755465392,0.8586630246390512,2.1426508958691817,0.2351488860757452,0.4622281710355504,0.5897597987437612
2023-05-24 18:10:31,22000,104,B+1.5,13,101.89045434817592,70.62676114169791,0.8516497340963488,2.123892038436244,0.2428475822642939,0.4761741963054643,0.6037461397666524
2023-05-24 18:34:52,23000,162,W+1.5,28,86.62676114169791,117.89045434817592,0.8488954223856242,1.942345458948449,0.2466840293176155,0.48350521282686,0.6114480612154394
2023-05-24 18:57:55,24000,89,B+7.5,6,102.62676114169793,71.3630679352199,0.8533650814654987,1.947308572349973,0.2413171962812749,0.4761483942235589,0.6046943662766789
2023-05-24 19:21:31,25000,114,B+4.5,13,118.62676114169793,87.3630679352199,0.860380913962687,2.0431028646683087,0.2480902427814644,0.4851420323977391,0.612468856080825
2023-05-24 19:44:45,26000,116,B+1.5,21,134.6267611416979,103.3630679352199,0.865698986370433,1.9192573970784497,0.2497657654752017,0.4921763249772216,0.6224736133396763
2023-05-24 20:06:43,27000,46,B+15.5,6,150.6267611416979,119.36306793521987,0.8491256953660287,2.007831771958487,0.2569742221075463,0.4955144693237435,0.6212238249973795
2023-05-24 20:30:02,28000,162,W+3.5,35,135.3630679352199,166.6267611416979,0.8372550820713374,1.929064852255876,0.261421855976004,0.5049032018771015,0.63373622209142
2023-05-24 20:50:25,29000,96,B+8.5,6,151.3630679352199,120.09937472874188,0.8321134180888115,1.9273803378992,0.2635198877609437,0.5029954604462148,0.6333072624797413
2023-05-24 21:11:17,30000,97,B+1.5,8,167.3630679352199,136.0993747287419,0.8259511343181595,1.7804500896677071,0.2644761774215657,0.508163939977907,0.6388240701171576
2023-05-24 21:32:51,31000,117,W+2.5,20,152.0993747287419,183.3630679352199,0.8941087321733898,1.8535465381813725,0.2595899081607147,0.5045129453882811,0.6354585110586111
