datetime,training_steps,policy_loss,value_loss,learning_rate,total_games,total_samples
2023-05-24 06:50:43,200,4.343430042266846,0.8059472441673279,0.01,20000,1996196
2023-05-24 06:50:59,400,4.304384231567383,0.8171272873878479,0.01,20000,1996196
2023-05-24 06:51:12,600,4.279822826385498,0.7810573577880859,0.01,20000,1996196
2023-05-24 06:51:25,800,4.277447700500488,0.7781085968017578,0.01,20000,1996196
2023-05-24 06:51:38,1000,4.217612266540527,0.7843728065490723,0.01,20000,1996196
2023-05-24 07:35:33,1200,4.116875648498535,0.7842477560043335,0.01,25000,2602145
2023-05-24 07:35:47,1400,4.032107353210449,0.8004423379898071,0.01,25000,2602145
2023-05-24 07:36:00,1600,3.9451661109924316,0.7877830266952515,0.01,25000,2602145
2023-05-24 07:36:13,1800,3.8590738773345947,0.7660504579544067,0.01,25000,2602145
2023-05-24 07:36:27,2000,3.764521837234497,0.7907706499099731,0.01,25000,2602145
2023-05-24 08:19:05,2200,3.6033380031585693,0.7906473875045776,0.01,30000,3163347
2023-05-24 08:19:20,2400,3.6095380783081055,0.8413147330284119,0.01,30000,3163347
2023-05-24 08:19:34,2600,3.5319299697875977,0.7961964011192322,0.01,30000,3163347
2023-05-24 08:19:47,2800,3.496910572052002,0.7623903155326843,0.01,30000,3163347
2023-05-24 08:20:00,3000,3.448331117630005,0.7634773254394531,0.01,30000,3163347
2023-05-24 09:02:20,3200,3.4159698486328125,0.8215895295143127,0.01,35000,3720630
2023-05-24 09:02:35,3400,3.2960047721862793,0.7636433243751526,0.01,35000,3720630
2023-05-24 09:02:48,3600,3.3043479919433594,0.7616826295852661,0.01,35000,3720630
2023-05-24 09:03:02,3800,3.3052239418029785,0.8100595474243164,0.01,35000,3720630
2023-05-24 09:03:16,4000,3.284421920776367,0.7843518257141113,0.01,35000,3720630
2023-05-24 09:45:18,4200,3.3452961444854736,0.8053532242774963,0.01,40000,4288090
2023-05-24 09:45:33,4400,3.1473708152770996,0.7792448401451111,0.01,40000,4288090
2023-05-24 09:45:46,4600,3.1497421264648438,0.7890179753303528,0.01,40000,4288090
2023-05-24 09:45:59,4800,3.1066718101501465,0.7873562574386597,0.01,40000,4288090
2023-05-24 09:46:13,5000,3.1725234985351562,0.8045468330383301,0.01,40000,4288090
