timestamp,train_steps,checkpoint,loss,learning_rate
2023-02-12 23:15:59,61000,checkpoints/gomoku_small_v2/train_steps_61000,2.812983751296997,0.01
2023-02-12 23:41:31,62000,checkpoints/gomoku_small_v2/train_steps_62000,2.855396032333374,0.01
2023-02-13 00:07:00,63000,checkpoints/gomoku_small_v2/train_steps_63000,2.935119152069092,0.01
2023-02-13 00:32:33,64000,checkpoints/gomoku_small_v2/train_steps_64000,2.9863321781158447,0.01
2023-02-13 00:58:01,65000,checkpoints/gomoku_small_v2/train_steps_65000,2.9591927528381348,0.01
2023-02-13 01:23:36,66000,checkpoints/gomoku_small_v2/train_steps_66000,2.836172580718994,0.01
2023-02-13 01:49:09,67000,checkpoints/gomoku_small_v2/train_steps_67000,2.8943300247192383,0.01
2023-02-13 02:14:44,68000,checkpoints/gomoku_small_v2/train_steps_68000,2.916560411453247,0.01
2023-02-13 02:40:15,69000,checkpoints/gomoku_small_v2/train_steps_69000,2.8405094146728516,0.01
2023-02-13 03:05:44,70000,checkpoints/gomoku_small_v2/train_steps_70000,2.7875704765319824,0.01
2023-02-13 03:31:09,71000,checkpoints/gomoku_small_v2/train_steps_71000,2.863462209701538,0.01
2023-02-13 03:56:39,72000,checkpoints/gomoku_small_v2/train_steps_72000,2.994933843612671,0.01
2023-02-13 04:22:09,73000,checkpoints/gomoku_small_v2/train_steps_73000,2.8576855659484863,0.01
2023-02-13 04:47:39,74000,checkpoints/gomoku_small_v2/train_steps_74000,2.8540854454040527,0.01
2023-02-13 05:13:06,75000,checkpoints/gomoku_small_v2/train_steps_75000,2.8941428661346436,0.01
2023-02-13 05:38:37,76000,checkpoints/gomoku_small_v2/train_steps_76000,2.961440324783325,0.01
2023-02-13 06:04:14,77000,checkpoints/gomoku_small_v2/train_steps_77000,2.775521993637085,0.01
2023-02-13 06:29:46,78000,checkpoints/gomoku_small_v2/train_steps_78000,2.7647993564605713,0.01
2023-02-13 06:55:10,79000,checkpoints/gomoku_small_v2/train_steps_79000,2.927499771118164,0.01
2023-02-13 07:20:39,80000,checkpoints/gomoku_small_v2/train_steps_80000,2.9525234699249268,0.01
2023-02-13 07:48:06,81000,checkpoints/gomoku_small_v2/train_steps_81000,2.875476360321045,0.01
2023-02-13 08:19:53,82000,checkpoints/gomoku_small_v2/train_steps_82000,2.982307195663452,0.01
2023-02-13 08:51:39,83000,checkpoints/gomoku_small_v2/train_steps_83000,2.9360599517822266,0.01
2023-02-13 09:23:22,84000,checkpoints/gomoku_small_v2/train_steps_84000,2.7524375915527344,0.01
2023-02-13 09:55:03,85000,checkpoints/gomoku_small_v2/train_steps_85000,2.760725975036621,0.01
2023-02-13 10:26:42,86000,checkpoints/gomoku_small_v2/train_steps_86000,2.683884620666504,0.01
2023-02-13 10:58:31,87000,checkpoints/gomoku_small_v2/train_steps_87000,2.8635196685791016,0.01
2023-02-13 11:30:23,88000,checkpoints/gomoku_small_v2/train_steps_88000,2.7517378330230713,0.01
2023-02-13 12:02:01,89000,checkpoints/gomoku_small_v2/train_steps_89000,2.8078205585479736,0.01
2023-02-13 12:33:43,90000,checkpoints/gomoku_small_v2/train_steps_90000,2.805079221725464,0.01
2023-02-13 13:05:27,91000,checkpoints/gomoku_small_v2/train_steps_91000,3.0186455249786377,0.01
2023-02-13 13:37:05,92000,checkpoints/gomoku_small_v2/train_steps_92000,2.8545680046081543,0.01
2023-02-13 14:08:48,93000,checkpoints/gomoku_small_v2/train_steps_93000,2.992985725402832,0.01
2023-02-13 14:40:36,94000,checkpoints/gomoku_small_v2/train_steps_94000,3.0139760971069336,0.01
2023-02-13 15:12:18,95000,checkpoints/gomoku_small_v2/train_steps_95000,2.9300336837768555,0.01
2023-02-13 15:43:54,96000,checkpoints/gomoku_small_v2/train_steps_96000,3.0596280097961426,0.01
2023-02-13 16:15:42,97000,checkpoints/gomoku_small_v2/train_steps_97000,2.843996286392212,0.01
2023-02-13 16:47:21,98000,checkpoints/gomoku_small_v2/train_steps_98000,3.008824348449707,0.01
2023-02-13 17:19:04,99000,checkpoints/gomoku_small_v2/train_steps_99000,2.792677640914917,0.01
